,date,total_commute
271,2018-09-29,540
272,2018-09-30,1095
273,2018-10-01,2315
274,2018-10-02,2065
275,2018-10-03,3625
276,2018-10-04,3525
277,2018-10-05,3950
278,2018-10-06,835
279,2018-10-07,740
280,2018-10-08,4140
281,2018-10-09,5235
282,2018-10-10,4760
283,2018-10-11,4930
284,2018-10-12,3310
285,2018-10-13,1100
286,2018-10-14,965
287,2018-10-15,4010
288,2018-10-16,6035
289,2018-10-17,4140
290,2018-10-18,4540
291,2018-10-19,4480
292,2018-10-20,1020
293,2018-10-21,915
294,2018-10-22,3610
295,2018-10-23,3045
296,2018-10-24,3205
297,2018-10-25,3480
298,2018-10-26,755
299,2018-10-27,165
300,2018-10-28,325
301,2018-10-29,3750
302,2018-10-30,810
303,2018-10-31,2690
304,2018-11-01,3070
305,2018-11-02,2765
306,2018-11-03,15
307,2018-11-04,95
308,2018-11-05,4015
309,2018-11-06,4630
310,2018-11-07,3895
311,2018-11-08,5260
312,2018-11-09,3925
313,2018-11-10,185
314,2018-11-11,5
315,2018-11-12,1450
316,2018-11-13,2745
317,2018-11-14,4080
318,2018-11-15,4510
319,2018-11-16,3345
320,2018-11-17,750
321,2018-11-18,405
322,2018-11-19,2615
323,2018-11-20,1575
324,2018-11-21,2280
325,2018-11-22,3215
326,2018-11-23,2350
327,2018-11-24,80
328,2018-11-25,145
329,2018-11-26,3170
330,2018-11-27,3275
331,2018-11-28,2650
332,2018-11-29,1350
333,2018-11-30,2120
334,2018-12-01,85
335,2018-12-02,360
336,2018-12-03,2445
337,2018-12-04,3260
338,2018-12-05,1705
339,2018-12-06,2675
340,2018-12-07,1340
341,2018-12-08,160
342,2018-12-09,50
343,2018-12-10,1810
344,2018-12-11,2715
345,2018-12-12,1775
346,2018-12-13,2810
347,2018-12-14,1680
348,2018-12-15,235
349,2018-12-16,70
350,2018-12-17,850
351,2018-12-18,2505
352,2018-12-19,2625
353,2018-12-20,1660
354,2018-12-21,485
355,2018-12-22,50
356,2018-12-23,0
357,2018-12-24,230
358,2018-12-25,45
359,2018-12-26,0
360,2018-12-27,840
361,2018-12-28,925
362,2018-12-29,55
363,2018-12-30,120
364,2018-12-31,395
365,2019-01-01,0
366,2019-01-02,1460
367,2019-01-03,2255
368,2019-01-04,1380
369,2019-01-05,100
370,2019-01-06,185
371,2019-01-07,3585
372,2019-01-08,2170
373,2019-01-09,2310
374,2019-01-10,2540
375,2019-01-11,2105
376,2019-01-12,410
377,2019-01-13,295
378,2019-01-14,3065
379,2019-01-15,2895
380,2019-01-16,2035
381,2019-01-17,1905
382,2019-01-18,3010
383,2019-01-19,565
384,2019-01-20,470
385,2019-01-21,3810
386,2019-01-22,2050
387,2019-01-23,1560
388,2019-01-24,2350
389,2019-01-25,1140
390,2019-01-26,5
391,2019-01-27,80
392,2019-01-28,1750
393,2019-01-29,3280
394,2019-01-30,1060
395,2019-01-31,1415
396,2019-02-01,1160
397,2019-02-02,170
398,2019-02-03,700
399,2019-02-04,2295
400,2019-02-05,3380
401,2019-02-06,855
402,2019-02-07,1665
403,2019-02-08,1120
404,2019-02-09,0
405,2019-02-10,30
406,2019-02-11,2965
407,2019-02-12,4725
408,2019-02-13,3255
409,2019-02-14,3755
410,2019-02-15,3395
411,2019-02-16,595
412,2019-02-17,650
413,2019-02-18,3240
414,2019-02-19,4355
415,2019-02-20,3080
416,2019-02-21,4135
417,2019-02-22,2910
418,2019-02-23,810
419,2019-02-24,870
420,2019-02-25,3505
421,2019-02-26,5350
422,2019-02-27,4910
423,2019-02-28,3505
424,2019-03-01,2570
425,2019-03-02,670
426,2019-03-03,0
427,2019-03-04,1300
428,2019-03-05,3680
429,2019-03-06,2095
430,2019-03-07,1410
431,2019-03-08,1510
432,2019-03-09,210
433,2019-03-10,0
434,2019-03-11,1655
435,2019-03-12,1700
436,2019-03-13,1075
437,2019-03-14,1165
438,2019-03-15,540
439,2019-03-16,170
440,2019-03-17,55
441,2019-03-18,5080
442,2019-03-19,4780
443,2019-03-20,3815
444,2019-03-21,4655
445,2019-03-22,3780
446,2019-03-23,1740
447,2019-03-24,760
448,2019-03-25,4110
449,2019-03-26,5765
450,2019-03-27,3410
451,2019-03-28,4200
452,2019-03-29,3985
453,2019-03-30,1200
454,2019-03-31,1165
455,2019-04-01,6090
456,2019-04-02,3425
457,2019-04-03,2930
458,2019-04-04,3980
459,2019-04-05,3645
460,2019-04-06,520
461,2019-04-07,1120
462,2019-04-08,6150
463,2019-04-09,6350
464,2019-04-10,3995
465,2019-04-11,4205
466,2019-04-12,2810
467,2019-04-13,865
468,2019-04-14,250
469,2019-04-15,4990
470,2019-04-16,7085
471,2019-04-17,3520
472,2019-04-18,5315
473,2019-04-19,3290
474,2019-04-20,1890
475,2019-04-21,1715
476,2019-04-22,1565
477,2019-04-23,5405
478,2019-04-24,5795
479,2019-04-25,3655
480,2019-04-26,3305
481,2019-04-27,65
482,2019-04-28,190
483,2019-04-29,4155
484,2019-04-30,5240
485,2019-05-01,4415
486,2019-05-02,3110
487,2019-05-03,2550
488,2019-05-04,385
489,2019-05-05,25
490,2019-05-06,4430
491,2019-05-07,4010
492,2019-05-08,2765
493,2019-05-09,3610
494,2019-05-10,3660
495,2019-05-11,910
496,2019-05-12,1030
497,2019-05-13,4540
498,2019-05-14,5485
499,2019-05-15,6890
500,2019-05-16,5795
501,2019-05-17,2645
502,2019-05-18,1740
503,2019-05-19,715
504,2019-05-20,5955
505,2019-05-21,4675
506,2019-05-22,5320
507,2019-05-23,6555
508,2019-05-24,5300
509,2019-05-25,490
510,2019-05-26,800
511,2019-05-27,4990
512,2019-05-28,7130
513,2019-05-29,5430
514,2019-05-30,940
515,2019-05-31,3935
516,2019-06-01,1575
517,2019-06-02,1185
518,2019-06-03,5825
519,2019-06-04,5635
520,2019-06-05,3245
521,2019-06-06,5190
522,2019-06-07,2985
523,2019-06-08,515
524,2019-06-09,1055
525,2019-06-10,805
526,2019-06-11,3340
527,2019-06-12,2700
528,2019-06-13,3915
529,2019-06-14,3670
530,2019-06-15,560
531,2019-06-16,2250
532,2019-06-17,6335
533,2019-06-18,8440
534,2019-06-19,3545
535,2019-06-20,3120
536,2019-06-21,4710
537,2019-06-22,1540
538,2019-06-23,2270
539,2019-06-24,7695
540,2019-06-25,7315
541,2019-06-26,5645
542,2019-06-27,4385
543,2019-06-28,4540
544,2019-06-29,1440
545,2019-06-30,1360
546,2019-07-01,5500
547,2019-07-02,6900
548,2019-07-03,6775
549,2019-07-04,5595
550,2019-07-05,4555
551,2019-07-06,740
552,2019-07-07,635
553,2019-07-08,4470
554,2019-07-09,5650
555,2019-07-10,2730
556,2019-07-11,3475
557,2019-07-12,2855
558,2019-07-13,1155
559,2019-07-14,665
560,2019-07-15,3370
561,2019-07-16,5645
562,2019-07-17,5735
563,2019-07-18,3600
564,2019-07-19,3655
565,2019-07-20,530
566,2019-07-21,915
567,2019-07-22,5105
568,2019-07-23,7120
569,2019-07-24,4750
570,2019-07-25,3120
571,2019-07-26,2660
572,2019-07-27,785
573,2019-07-28,950
574,2019-07-29,5595
575,2019-07-30,6140
576,2019-07-31,3345
577,2019-08-01,3285
578,2019-08-02,1515
579,2019-08-03,1665
580,2019-08-04,1300
581,2019-08-05,3915
582,2019-08-06,7080
583,2019-08-07,3165
584,2019-08-08,5425
585,2019-08-09,1725
586,2019-08-10,550
587,2019-08-11,1305
588,2019-08-12,3855
589,2019-08-13,3075
590,2019-08-14,3950
591,2019-08-15,1475
592,2019-08-16,4425
593,2019-08-17,870
594,2019-08-18,1010
595,2019-08-19,5680
596,2019-08-20,7740
597,2019-08-21,6555
598,2019-08-22,5880
599,2019-08-23,5785
600,2019-08-24,1355
601,2019-08-25,1590
602,2019-08-26,8350
603,2019-08-27,7590
604,2019-08-28,5820
605,2019-08-29,5885
606,2019-08-30,5885
607,2019-08-31,2085
608,2019-09-01,1190
609,2019-09-02,6370
610,2019-09-03,6335
611,2019-09-04,3035
612,2019-09-05,3295
613,2019-09-06,2330
614,2019-09-07,270
615,2019-09-08,575
616,2019-09-09,6380
617,2019-09-10,7265
618,2019-09-11,1860
619,2019-09-12,5795
620,2019-09-13,3275
621,2019-09-14,2195
622,2019-09-15,2505
623,2019-09-16,2955
624,2019-09-17,6065
625,2019-09-18,6170
626,2019-09-19,5570
627,2019-09-20,3775
628,2019-09-21,1215
629,2019-09-22,2615
630,2019-09-23,3845
631,2019-09-24,4290
632,2019-09-25,2640
633,2019-09-26,2915
634,2019-09-27,2905
635,2019-09-28,655
636,2019-09-29,335
637,2019-09-30,2435
638,2019-10-01,3240
639,2019-10-02,3555
640,2019-10-03,3385
641,2019-10-04,2070
642,2019-10-05,985
643,2019-10-06,555
644,2019-10-07,4790
645,2019-10-08,2895
646,2019-10-09,2170
647,2019-10-10,3460
648,2019-10-11,1655
649,2019-10-12,50
650,2019-10-13,290
651,2019-10-14,4280
652,2019-10-15,3905
653,2019-10-16,2510
654,2019-10-17,3765
655,2019-10-18,2700
656,2019-10-19,605
657,2019-10-20,215
658,2019-10-21,1420
659,2019-10-22,3690
660,2019-10-23,4395
661,2019-10-24,4475
662,2019-10-25,2325
663,2019-10-26,760
664,2019-10-27,550
665,2019-10-28,4085
666,2019-10-29,5490
667,2019-10-30,3875
668,2019-10-31,5095
669,2019-11-01,1550
670,2019-11-02,460
671,2019-11-03,400
672,2019-11-04,3125
673,2019-11-05,3780
674,2019-11-06,3440
675,2019-11-07,2735
676,2019-11-08,2870
677,2019-11-09,70
678,2019-11-10,505
679,2019-11-11,2595
680,2019-11-12,1310
681,2019-11-13,1470
682,2019-11-14,3125
683,2019-11-15,1740
684,2019-11-16,315
685,2019-11-17,650
686,2019-11-18,2505
687,2019-11-19,2745
688,2019-11-20,2540
689,2019-11-21,2510
690,2019-11-22,2615
691,2019-11-23,370
692,2019-11-24,1060
693,2019-11-25,3655
694,2019-11-26,3205
695,2019-11-27,1470
696,2019-11-28,1575
697,2019-11-29,1650
698,2019-11-30,645
699,2019-12-01,975
700,2019-12-02,2455
701,2019-12-03,3465
702,2019-12-04,2285
703,2019-12-05,2825
704,2019-12-06,625
705,2019-12-07,55
706,2019-12-08,55
707,2019-12-09,2055
708,2019-12-10,2225
709,2019-12-11,2880
710,2019-12-12,3040
711,2019-12-13,720
712,2019-12-14,55
713,2019-12-15,40
714,2019-12-16,2890
715,2019-12-17,2200
716,2019-12-18,2470
717,2019-12-19,3175
718,2019-12-20,1260
719,2019-12-21,235
720,2019-12-22,10
721,2019-12-23,1530
722,2019-12-24,305
723,2019-12-25,0
724,2019-12-26,235
725,2019-12-27,495
726,2019-12-28,240
727,2019-12-29,300
728,2019-12-30,970
729,2019-12-31,945
730,2020-01-01,240
731,2020-01-02,1810
732,2020-01-03,870
733,2020-01-04,640
734,2020-01-05,340
735,2020-01-06,3180
736,2020-01-07,4575
737,2020-01-08,2420
738,2020-01-09,2805
739,2020-01-10,2770
740,2020-01-11,620
741,2020-01-12,0
742,2020-01-13,3745
743,2020-01-14,2190
744,2020-01-15,2035
745,2020-01-16,4820
746,2020-01-17,3590
747,2020-01-18,540
748,2020-01-19,590
749,2020-01-20,4630
750,2020-01-21,5740
751,2020-01-22,2600
752,2020-01-23,3680
753,2020-01-24,2740
754,2020-01-25,965
755,2020-01-26,445
756,2020-01-27,3500
757,2020-01-28,2600
758,2020-01-29,2755
759,2020-01-30,3200
760,2020-01-31,2230
