,date,total_commute
1171,2021-03-17,3500
1172,2021-03-18,3285
1173,2021-03-19,4995
1174,2021-03-20,2385
1175,2021-03-21,1155
1176,2021-03-22,3085
1177,2021-03-23,4550
1178,2021-03-24,4300
1179,2021-03-25,3365
1180,2021-03-26,3025
1181,2021-03-27,840
1182,2021-03-28,1135
1183,2021-03-29,3285
1184,2021-03-30,6775
1185,2021-03-31,5940
1186,2021-04-01,3895
1187,2021-04-02,2030
1188,2021-04-03,955
1189,2021-04-04,555
1190,2021-04-05,100
1191,2021-04-06,730
1192,2021-04-07,1165
1193,2021-04-08,4105
1194,2021-04-09,2505
1195,2021-04-10,345
1196,2021-04-11,540
1197,2021-04-12,1510
1198,2021-04-13,3940
1199,2021-04-14,3390
1200,2021-04-15,5320
1201,2021-04-16,3390
1202,2021-04-17,4190
1203,2021-04-18,3655
1204,2021-04-19,3590
1205,2021-04-20,5240
1206,2021-04-21,4210
1207,2021-04-22,5110
1208,2021-04-23,4175
1209,2021-04-24,3380
1210,2021-04-25,1710
1211,2021-04-26,2110
1212,2021-04-27,2450
1213,2021-04-28,3770
1214,2021-04-29,1335
1215,2021-04-30,1475
1216,2021-05-01,2020
1217,2021-05-02,1990
1218,2021-05-03,2195
1219,2021-05-04,1170
1220,2021-05-05,1240
1221,2021-05-06,2935
1222,2021-05-07,2285
1223,2021-05-08,1190
1224,2021-05-09,1850
1225,2021-05-10,2395
1226,2021-05-11,4880
1227,2021-05-12,4895
1228,2021-05-13,3520
1229,2021-05-14,3610
1230,2021-05-15,2000
1231,2021-05-16,1030
1232,2021-05-17,1650
1233,2021-05-18,4155
1234,2021-05-19,3450
1235,2021-05-20,6155
1236,2021-05-21,2060
1237,2021-05-22,1145
1238,2021-05-23,1540
1239,2021-05-24,310
1240,2021-05-25,2625
1241,2021-05-26,4305
1242,2021-05-27,2905
1243,2021-05-28,5030
1244,2021-05-29,3685
1245,2021-05-30,4550
1246,2021-05-31,5755
1247,2021-06-01,7865
1248,2021-06-02,6770
1249,2021-06-03,5090
1250,2021-06-04,5020
1251,2021-06-05,2395
1252,2021-06-06,3335
1253,2021-06-07,6105
1254,2021-06-08,7205
1255,2021-06-09,7215
1256,2021-06-10,6120
1257,2021-06-11,5310
1258,2021-06-12,4460
1259,2021-06-13,3445
1260,2021-06-14,5635
1261,2021-06-15,5480
1262,2021-06-16,6105
1263,2021-06-17,6390
1264,2021-06-18,2590
1265,2021-06-19,2275
1266,2021-06-20,2015
1267,2021-06-21,865
1268,2021-06-22,4995
1269,2021-06-23,4845
1270,2021-06-24,6570
1271,2021-06-25,4685
1272,2021-06-26,3260
1273,2021-06-27,2345
1274,2021-06-28,2715
1275,2021-06-29,3125
1276,2021-06-30,2820
1277,2021-07-01,3210
1278,2021-07-02,4380
1279,2021-07-03,3045
1280,2021-07-04,1795
1281,2021-07-05,4070
1282,2021-07-06,4090
1283,2021-07-07,4545
1284,2021-07-08,4890
1285,2021-07-09,4800
1286,2021-07-10,2580
1287,2021-07-11,2310
1288,2021-07-12,3340
1289,2021-07-13,3480
1290,2021-07-14,3590
1291,2021-07-15,2960
1292,2021-07-16,2745
1293,2021-07-17,3080
1294,2021-07-18,2895
1295,2021-07-19,3790
1296,2021-07-20,5975
1297,2021-07-21,4880
1298,2021-07-22,4760
1299,2021-07-23,3475
1300,2021-07-24,1980
1301,2021-07-25,1775
1302,2021-07-26,2600
1303,2021-07-27,2510
1304,2021-07-28,2080
1305,2021-07-29,3135
1306,2021-07-30,1505
1307,2021-07-31,1925
1308,2021-08-01,1145
1309,2021-08-02,3055
1310,2021-08-03,4190
1311,2021-08-04,4005
1312,2021-08-05,4335
1313,2021-08-06,1705
1314,2021-08-07,2080
1315,2021-08-08,835
1316,2021-08-09,1495
1317,2021-08-10,2795
1318,2021-08-11,4640
1319,2021-08-12,4210
1320,2021-08-13,3110
1321,2021-08-14,1880
1322,2021-08-15,2850
1323,2021-08-16,2400
1324,2021-08-17,2210
1325,2021-08-18,3490
1326,2021-08-19,2795
1327,2021-08-20,2595
1328,2021-08-21,2035
1329,2021-08-22,650
1330,2021-08-23,4500
1331,2021-08-24,6265
1332,2021-08-25,5595
1333,2021-08-26,3400
1334,2021-08-27,3590
1335,2021-08-28,1840
1336,2021-08-29,1255
1337,2021-08-30,3170
1338,2021-08-31,4780
1339,2021-09-01,4505
1340,2021-09-02,5145
1341,2021-09-03,3845
1342,2021-09-04,2865
1343,2021-09-05,2005
1344,2021-09-06,4340
1345,2021-09-07,6685
1346,2021-09-08,6415
1347,2021-09-09,4930
1348,2021-09-10,4255
1349,2021-09-11,1825
1350,2021-09-12,1785
1351,2021-09-13,3965
1352,2021-09-14,5595
1353,2021-09-15,4815
1354,2021-09-16,4675
1355,2021-09-17,4420
1356,2021-09-18,2780
1357,2021-09-19,2610
1358,2021-09-20,4750
1359,2021-09-21,7160
1360,2021-09-22,5980
1361,2021-09-23,4285
1362,2021-09-24,3970
1363,2021-09-25,2525
1364,2021-09-26,1890
1365,2021-09-27,3510
1366,2021-09-28,5930
1367,2021-09-29,1970
1368,2021-09-30,4015
1369,2021-10-01,2720
1370,2021-10-02,1985
1371,2021-10-03,615
1372,2021-10-04,3545
1373,2021-10-05,3955
1374,2021-10-06,1700
1375,2021-10-07,5185
1376,2021-10-08,4190
1377,2021-10-09,1700
1378,2021-10-10,1670
1379,2021-10-11,3550
1380,2021-10-12,2520
1381,2021-10-13,4385
1382,2021-10-14,4525
1383,2021-10-15,2870
1384,2021-10-16,1825
1385,2021-10-17,1785
1386,2021-10-18,3695
1387,2021-10-19,2770
1388,2021-10-20,2480
1389,2021-10-21,2360
1390,2021-10-22,2305
1391,2021-10-23,840
1392,2021-10-24,760
1393,2021-10-25,2035
1394,2021-10-26,3780
1395,2021-10-27,3680
1396,2021-10-28,5880
1397,2021-10-29,4010
1398,2021-10-30,525
1399,2021-10-31,1405
1400,2021-11-01,2815
1401,2021-11-02,4210
1402,2021-11-03,4075
1403,2021-11-04,3545
1404,2021-11-05,2630
1405,2021-11-06,1610
1406,2021-11-07,745
1407,2021-11-08,2220
1408,2021-11-09,3125
1409,2021-11-10,4245
1410,2021-11-11,3550
1411,2021-11-12,2050
1412,2021-11-13,640
1413,2021-11-14,1105
1414,2021-11-15,2250
1415,2021-11-16,2385
1416,2021-11-17,2440
1417,2021-11-18,2880
1418,2021-11-19,2205
1419,2021-11-20,1035
1420,2021-11-21,795
1421,2021-11-22,2830
1422,2021-11-23,2245
1423,2021-11-24,3125
1424,2021-11-25,2445
1425,2021-11-26,1080
1426,2021-11-27,255
1427,2021-11-28,315
1428,2021-11-29,1445
1429,2021-11-30,690
1430,2021-12-01,495
1431,2021-12-02,1765
1432,2021-12-03,625
1433,2021-12-04,335
1434,2021-12-05,560
1435,2021-12-06,1205
1436,2021-12-07,1855
1437,2021-12-08,865
1438,2021-12-09,1145
1439,2021-12-10,1280
1440,2021-12-11,1055
1441,2021-12-12,60
1442,2021-12-13,1450
1443,2021-12-14,1805
1444,2021-12-15,2260
1445,2021-12-16,1950
1446,2021-12-17,1365
1447,2021-12-18,285
1448,2021-12-19,365
1449,2021-12-20,1730
1450,2021-12-21,960
1451,2021-12-22,1760
1452,2021-12-23,665
1453,2021-12-24,300
1454,2021-12-25,120
1455,2021-12-26,30
1456,2021-12-27,315
1457,2021-12-28,170
1458,2021-12-29,595
1459,2021-12-30,265
1460,2021-12-31,315
1461,2022-01-01,515
1462,2022-01-02,275
1463,2022-01-03,1180
1464,2022-01-04,1170
1465,2022-01-05,1155
1466,2022-01-06,1490
1467,2022-01-07,595
1468,2022-01-08,140
1469,2022-01-09,380
1470,2022-01-10,2770
1471,2022-01-11,2380
1472,2022-01-12,2825
1473,2022-01-13,3195
1474,2022-01-14,2305
1475,2022-01-15,1655
1476,2022-01-16,1020
1477,2022-01-17,2135
1478,2022-01-18,2470
1479,2022-01-19,1860
1480,2022-01-20,2125
1481,2022-01-21,585
1482,2022-01-22,460
1483,2022-01-23,275
1484,2022-01-24,2255
1485,2022-01-25,2850
1486,2022-01-26,2215
1487,2022-01-27,1290
1488,2022-01-28,2860
1489,2022-01-29,320
1490,2022-01-30,1430
1491,2022-01-31,235
1492,2022-02-01,1255
1493,2022-02-02,2825
1494,2022-02-03,2185
1495,2022-02-04,1005
1496,2022-02-05,840
1497,2022-02-06,0
1498,2022-02-07,1800
1499,2022-02-08,2505
1500,2022-02-09,1490
1501,2022-02-10,1805
1502,2022-02-11,2475
1503,2022-02-12,970
1504,2022-02-13,165
1505,2022-02-14,2080
1506,2022-02-15,2095
1507,2022-02-16,1535
1508,2022-02-17,1370
1509,2022-02-18,250
1510,2022-02-19,770
1511,2022-02-20,90
1512,2022-02-21,130
1513,2022-02-22,2115
1514,2022-02-23,4475
1515,2022-02-24,2145
1516,2022-02-25,1300
1517,2022-02-26,1605
1518,2022-02-27,1210
1519,2022-02-28,2895
1520,2022-03-01,2450
1521,2022-03-02,4045
1522,2022-03-03,5550
1523,2022-03-04,3355
1524,2022-03-05,2215
1525,2022-03-06,1645
1526,2022-03-07,4805
1527,2022-03-08,3860
1528,2022-03-09,5300
1529,2022-03-10,4540
1530,2022-03-11,3670
1531,2022-03-12,1850
1532,2022-03-13,1530
1533,2022-03-14,3830
1534,2022-03-15,5095
1535,2022-03-16,5535
1536,2022-03-17,4990
1537,2022-03-18,4440
1538,2022-03-19,1080
1539,2022-03-20,350
1540,2022-03-21,5115
1541,2022-03-22,6265
1542,2022-03-23,7365
1543,2022-03-24,5375
1544,2022-03-25,4445
1545,2022-03-26,2100
1546,2022-03-27,2385
1547,2022-03-28,2215
1548,2022-03-29,5540
1549,2022-03-30,4880
1550,2022-03-31,1875
1551,2022-04-01,1965
1552,2022-04-02,985
1553,2022-04-03,675
1554,2022-04-04,685
1555,2022-04-05,2325
1556,2022-04-06,2455
1557,2022-04-07,1225
1558,2022-04-08,2045
1559,2022-04-09,390
1560,2022-04-10,815
1561,2022-04-11,4535
1562,2022-04-12,7155
1563,2022-04-13,6275
1564,2022-04-14,6760
1565,2022-04-15,4240
1566,2022-04-16,2490
1567,2022-04-17,2250
1568,2022-04-18,2310
1569,2022-04-19,5095
1570,2022-04-20,7320
1571,2022-04-21,6485
1572,2022-04-22,4500
1573,2022-04-23,2255
1574,2022-04-24,1960
1575,2022-04-25,3390
1576,2022-04-26,4730
1577,2022-04-27,2035
1578,2022-04-28,4270
1579,2022-04-29,4950
1580,2022-04-30,1680
1581,2022-05-01,2335
1582,2022-05-02,4365
1583,2022-05-03,5180
1584,2022-05-04,5705
1585,2022-05-05,4970
1586,2022-05-06,4065
1587,2022-05-07,2310
1588,2022-05-08,1845
1589,2022-05-09,6030
1590,2022-05-10,5575
1591,2022-05-11,6395
1592,2022-05-12,7170
1593,2022-05-13,4395
1594,2022-05-14,2570
1595,2022-05-15,2940
1596,2022-05-16,4685
1597,2022-05-17,7095
1598,2022-05-18,5910
1599,2022-05-19,3725
1600,2022-05-20,2425
1601,2022-05-21,2760
1602,2022-05-22,3410
1603,2022-05-23,3075
1604,2022-05-24,3825
1605,2022-05-25,5875
1606,2022-05-26,3425
1607,2022-05-27,3195
1608,2022-05-28,2080
1609,2022-05-29,1610
1610,2022-05-30,5195
1611,2022-05-31,5870
1612,2022-06-01,5375
1613,2022-06-02,7340
1614,2022-06-03,4385
1615,2022-06-04,2580
1616,2022-06-05,635
1617,2022-06-06,145
1618,2022-06-07,6140
1619,2022-06-08,3655
1620,2022-06-09,6125
1621,2022-06-10,4695
1622,2022-06-11,3155
1623,2022-06-12,2955
1624,2022-06-13,5455
1625,2022-06-14,7670
1626,2022-06-15,6220
1627,2022-06-16,8395
1628,2022-06-17,4975
1629,2022-06-18,3895
1630,2022-06-19,2145
1631,2022-06-20,5840
1632,2022-06-21,7440
1633,2022-06-22,7350
1634,2022-06-23,5870
1635,2022-06-24,2810
1636,2022-06-25,1790
1637,2022-06-26,2310
1638,2022-06-27,4410
1639,2022-06-28,5170
1640,2022-06-29,6255
1641,2022-06-30,4525
1642,2022-07-01,4110
1643,2022-07-02,2570
1644,2022-07-03,2270
1645,2022-07-04,6830
1646,2022-07-05,5300
1647,2022-07-06,5975
1648,2022-07-07,4615
1649,2022-07-08,4650
1650,2022-07-09,1920
1651,2022-07-10,1875
1652,2022-07-11,5070
1653,2022-07-12,7240
1654,2022-07-13,4600
1655,2022-07-14,7195
1656,2022-07-15,5000
1657,2022-07-16,2535
1658,2022-07-17,3045
1659,2022-07-18,4915
1660,2022-07-19,5875
1661,2022-07-20,4650
1662,2022-07-21,3315
1663,2022-07-22,3655
1664,2022-07-23,2950
1665,2022-07-24,2370
1666,2022-07-25,4200
1667,2022-07-26,3980
1668,2022-07-27,6170
1669,2022-07-28,5910
1670,2022-07-29,4075
1671,2022-07-30,1915
1672,2022-07-31,755
1673,2022-08-01,3640
1674,2022-08-02,7280
1675,2022-08-03,5455
1676,2022-08-04,4190
1677,2022-08-05,3315
1678,2022-08-06,2085
1679,2022-08-07,2570
1680,2022-08-08,4710
1681,2022-08-09,6810
1682,2022-08-10,6050
1683,2022-08-11,4990
1684,2022-08-12,3780
1685,2022-08-13,1890
1686,2022-08-14,3030
1687,2022-08-15,3740
1688,2022-08-16,5490
1689,2022-08-17,1690
1690,2022-08-18,4650
1691,2022-08-19,3670
1692,2022-08-20,2930
1693,2022-08-21,2760
1694,2022-08-22,4830
1695,2022-08-23,6360
1696,2022-08-24,7185
1697,2022-08-25,6735
1698,2022-08-26,3870
1699,2022-08-27,1880
1700,2022-08-28,1665
1701,2022-08-29,6705
1702,2022-08-30,9210
1703,2022-08-31,6385
1704,2022-09-01,6310
1705,2022-09-02,5225
1706,2022-09-03,2265
1707,2022-09-04,2050
1708,2022-09-05,6710
1709,2022-09-06,7495
1710,2022-09-07,6275
1711,2022-09-08,2720
1712,2022-09-09,3110
1713,2022-09-10,1655
1714,2022-09-11,2255
1715,2022-09-12,6425
1716,2022-09-13,7020
1717,2022-09-14,6605
1718,2022-09-15,7645
1719,2022-09-16,1110
1720,2022-09-17,670
1721,2022-09-18,830
1722,2022-09-19,4355
1723,2022-09-20,6270
1724,2022-09-21,4870
1725,2022-09-22,6690
1726,2022-09-23,2685
1727,2022-09-24,1030
1728,2022-09-25,2235
1729,2022-09-26,2795
1730,2022-09-27,2030
1731,2022-09-28,3370
1732,2022-09-29,4085
1733,2022-09-30,3310
